algo,reward,seed,mean_queue,mean_wait,mean_wait_per_veh,mean_speed,throughput,mean_travel_time,total_reward
random,-,0,22.63888888888889,1245.861111111111,12.008813618429567,4.9292033870581795,2688,98.5546875,-31.792222371092066
fixed,-,-,14.325,406.9847222222222,6.532408266755944,6.3981298638445425,2800,75.85714285714286,-20.085926079802448
webster,-,-,33.37638888888889,669.6172222222223,6.181335565917887,3.7831084731405555,2743,133.45060153117026,0.0
ddqn,pressure,s1111,2.5097222222222224,54.1375,0.8335604787208534,8.736735876398088,2820,56.68262411347518,-4.315926108160056
ddqn,pressure,s123,27.99861111111111,99378.50833333333,560.037698685995,3.631725400970346,2180,56.40137614678899,-31.908519024029374
ddqn,pressure,s2025,2.390277777777778,60.06666666666667,0.7933265108809266,8.869587648243467,2821,56.27437079049982,-4.175555750145577
ddqn,pressure,s2718,3.1666666666666665,104.05833333333334,1.8662819057638649,8.034634846173434,2809,61.53791384834461,-5.340740863408428
ddqn,pressure,s314,2.5208333333333335,74.1375,0.9356169490596623,8.610377459382484,2820,58.76418439716312,-4.366296490072273
ddqn,pressure,s42,3.522222222222222,76.28333333333333,1.300929190842404,8.389377425467348,2820,60.11879432624114,-5.879259460838512
ddqn,pressure,s5678,2.4166666666666665,61.65694444444444,0.8092512116690093,8.76706474890916,2820,57.16489361702128,-4.194815003691474
ddqn,pressure,s777,62.34027777777778,340318.5875,715.4095592652486,1.8340276287352955,1497,45.39746158984636,-77.78592735040002
ddqn,pressure,s999,101.48055555555555,504477.3541666667,971.5365875361283,0.8247805208235591,818,51.424205378973106,-116.46258930314798
ddqn,pressure,s9999,27.761111111111113,110652.3875,608.0071465998401,3.556499874123278,2159,55.692450208429825,-32.40074134138801
ddqn,queue,s1111,50.15138888888889,165036.59444444443,487.48099509855365,3.32241492827824,1808,52.02986725663717,-62.11370414481887
ddqn,queue,s123,60.575,162490.03055555557,712.441323945156,2.815515514026788,1903,55.03415659485024,-84.89518434274942
ddqn,queue,s2025,2.176388888888889,76.8125,1.0328578352689473,8.798812198681269,2819,57.53990776871231,-3.860000161541393
ddqn,queue,s2718,3.176388888888889,55.547222222222224,0.7844397249552695,8.4993854821967,2820,58.71099290780142,-5.262222415505676
ddqn,queue,s314,16.434722222222224,32195.359722222223,188.89773253170787,5.406974948048804,2552,55.817006269592476,-22.841111294799095
ddqn,queue,s42,1.9125,55.325,0.7925250409548462,9.007504715390791,2820,55.015957446808514,-3.4588890591694508
ddqn,queue,s5678,57.7125,204153.6375,503.3631936415883,2.999761605255866,1549,55.051646223369914,-62.4274050447857
ddqn,queue,s777,2.0625,65.87083333333334,0.8875748840870233,8.917499527559682,2822,56.36782423812899,-3.689629787404556
ddqn,queue,s999,2.513888888888889,51.888888888888886,0.7673090266692905,8.705316417491703,2819,57.42993969492728,-4.325926087098196
ddqn,queue,s9999,21.52638888888889,32747.458333333332,180.58440286269797,4.806558962520803,2519,62.004763795156805,-29.82777783505541
ddqn,wait-clip,s1111,1.9972222222222222,58.28194444444444,0.7698941903099075,8.892440260446596,2821,57.015242821694436,-3.5281482965219766
ddqn,wait-clip,s123,3.040277777777778,77.97916666666667,1.3712240018837025,8.614190551435694,2819,58.38063142958496,-5.162963082839269
ddqn,wait-clip,s2025,1.9986111111111111,57.048611111111114,0.717453205309331,8.964823530584408,2821,56.00496277915633,-3.5974075453996193
ddqn,wait-clip,s2718,1.9680555555555554,54.34305555555556,0.7246537845369361,8.926516155984196,2823,56.323060573857596,-3.527407545479946
ddqn,wait-clip,s314,14.511111111111111,32157.619444444445,191.83527137999047,5.4678516728592,2561,55.21280749707146,-20.018889093247708
ddqn,wait-clip,s42,56.31805555555555,199012.84305555557,497.86434771970033,3.1608588453859126,1575,54.00317460317461,-60.21555647344212
ddqn,wait-clip,s5678,2.1944444444444446,67.23611111111111,0.8844333044314728,8.841246739128913,2821,57.30414746543779,-3.8855556852940936
ddqn,wait-clip,s777,2.1319444444444446,67.52222222222223,0.8711298129440895,8.752059174206975,2820,57.78191489361702,-3.750370511203073
ddqn,wait-clip,s999,13.498611111111112,26353.441666666666,163.94026200567447,5.748364241547374,2580,54.395348837209305,-18.60703716072021
ddqn,wait-clip,s9999,2.3694444444444445,50.981944444444444,0.6673273297309597,8.86438807405958,2822,56.97377746279235,-4.180370537505951
dqn,pressure,s1111,4.705555555555556,173.91805555555555,3.0301387340551695,7.99185619072146,2818,61.86834634492548,-7.6700001166027505
dqn,pressure,s123,62.16388888888889,164521.9875,712.9103627063644,2.5032008510177657,1894,71.13780359028512,-87.47370285632012
dqn,pressure,s2025,5.616666666666666,1140.0694444444443,12.418276419756927,5.980315120367528,2799,85.5859235441229,-8.15296314531588
dqn,pressure,s2718,72.39166666666667,472985.80833333335,925.4172742184983,0.9134506640427387,1151,42.115551694178976,-89.45444303099066
dqn,pressure,s314,41.40833333333333,52389.416666666664,232.6447388543783,3.4421684212077297,2429,81.04158089748867,-63.38074127573054
dqn,pressure,s42,98.35555555555555,316936.39444444445,575.6033703791603,2.1358741146263966,1341,60.67486950037286,-114.06074062426342
dqn,pressure,s5678,47.169444444444444,145926.60555555555,452.5261000478234,3.029793347899124,1840,58.21467391304348,-59.69666523564956
dqn,pressure,s777,3.975,85.43472222222222,1.412850535730566,8.383483143359753,2820,59.773049645390074,-6.533703855413478
dqn,pressure,s999,89.575,430168.6513888889,800.8230159580169,1.0180975780588473,908,76.91629955947137,-107.41036974536837
dqn,pressure,s9999,3.4652777777777777,66.76666666666667,1.0991512457114754,8.400547805152208,2819,59.63816956367506,-5.634815019206144
dqn,queue,s1111,58.18472222222222,214625.76666666666,528.1314316958646,2.902806124302911,1523,56.66447800393959,-63.0696270983899
dqn,queue,s123,60.86666666666667,147044.0,631.6863135842985,2.6118769832215047,1982,75.12613521695258,-91.81814893271076
dqn,queue,s2025,2.640277777777778,60.24583333333333,0.7714756703105687,8.701060663665363,2816,57.32066761363637,-4.4422224270238075
dqn,queue,s2718,3.084722222222222,74.17777777777778,1.5170741666664305,8.674825616680359,2819,57.29514012061014,-5.302963047870435
dqn,queue,s314,28.09027777777778,97924.60833333334,553.371645517475,3.6749613521558393,2183,56.27347686669721,-32.0918524574372
dqn,queue,s42,25.094444444444445,52913.52916666667,254.04664053652593,4.673065943934046,2439,55.09430094300943,-32.348148558696266
dqn,queue,s5678,29.319444444444443,30029.3,162.54628489543913,4.189467042602725,2384,89.97273489932886,-36.79814814723795
dqn,queue,s777,26.943055555555556,53035.26666666667,251.94475535342923,4.4562595462745955,2438,57.149302707137,-35.03851880680304
dqn,queue,s999,2.7930555555555556,68.67777777777778,1.135463796741449,8.619394167829316,2819,57.68180205746719,-4.789259441497658
dqn,queue,s9999,2.638888888888889,57.9125,0.770694729100189,8.640615623160205,2817,57.83635072772453,-4.438148315879516
dqn,wait-clip,s1111,1.9930555555555556,49.98888888888889,0.6860888708727901,9.061545746480531,2821,54.826302729528535,-3.54259273968637
dqn,wait-clip,s123,3.0680555555555555,64.81111111111112,1.03690510446137,8.575885043266489,2818,58.19198012775018,-5.403333504858892
dqn,wait-clip,s2025,2.408333333333333,45.605555555555554,0.6514518157073502,8.763112183659223,2822,57.06945428773919,-4.337037202552892
dqn,wait-clip,s2718,4.522222222222222,87.94305555555556,1.7570636401828892,8.272466101512208,2817,60.04082357117501,-7.82148157490883
dqn,wait-clip,s314,66.3236111111111,283553.4041666667,627.2278114279924,2.7550220573656583,1354,48.85155096011817,-74.09111270750873
dqn,wait-clip,s42,2.290277777777778,45.955555555555556,0.6053373606722136,8.88347979206133,2820,56.61347517730496,-4.094814971118467
dqn,wait-clip,s5678,24.147222222222222,46762.94305555556,247.79115074949658,4.438343042457056,2507,62.38532110091743,-33.85592601029202
dqn,wait-clip,s777,1.9361111111111111,49.99305555555556,0.6691477712352333,8.9373418033585,2823,55.8253630889125,-3.42703716509277
dqn,wait-clip,s999,3.048611111111111,76.01666666666667,1.1000948593042623,8.536128641124236,2814,58.23560767590618,-5.564814948273124
dqn,wait-clip,s9999,28.87638888888889,2946.598611111111,23.076093849198205,3.9262577268141032,2458,131.0008136696501,-34.58481499050201
